Order ID,Product,Quantity Ordered,Order Date
176558,USB-C Charging Cable,2,4/19/2019 8:46
,,,
176559,Bose SoundSport Headphones,1,4/7/2019 22:30
176560,Google Phone,1,4/12/2019 14:38
176560,Wired Headphones,1,4/12/2019 14:38
176561,Wired Headphones,1,4/30/2019 9:27
176562,USB-C Charging Cable,1,4/29/2019 13:03
176563,Bose SoundSport Headphones,1,4/2/2019 7:46
176564,USB-C Charging Cable,1,4/12/2019 10:58
176565,Macbook Pro Laptop,1,4/24/2019 10:38
176566,Wired Headphones,1,4/8/2019 14:05
176567,Google Phone,1,4/18/2019 17:18
176568,Lightning Charging Cable,1,4/15/2019 12:18
176569,27in 4K Gaming Monitor,1,4/16/2019 19:23
176570,AA Batteries (4-pack),1,4/22/2019 15:09
176571,Lightning Charging Cable,1,4/19/2019 14:29
176572,Apple Airpods Headphones,1,4/4/2019 20:30
176573,USB-C Charging Cable,1,4/27/2019 18:41
176574,Google Phone,1,4/3/2019 19:42
176574,USB-C Charging Cable,1,4/3/2019 19:42
176575,AAA Batteries (4-pack),1,4/27/2019 0:30
176576,Apple Airpods Headphones,1,4/28/2019 11:42
176577,Apple Airpods Headphones,1,4/4/2019 19:25
176578,Apple Airpods Headphones,1,4/9/2019 23:35
176579,AA Batteries (4-pack),1,4/11/2019 10:23
176580,USB-C Charging Cable,1,4/5/2019 0:35
176581,iPhone,1,4/9/2019 21:38
176582,Bose SoundSport Headphones,1,4/27/2019 12:20
176583,AAA Batteries (4-pack),2,4/20/2019 12:00
176584,Flatscreen TV,1,4/24/2019 20:39
176585,Bose SoundSport Headphones,1,4/7/2019 11:31
176585,Bose SoundSport Headphones,1,4/7/2019 11:31
176586,AAA Batteries (4-pack),2,4/10/2019 17:00
176586,Google Phone,1,4/10/2019 17:00
176587,27in FHD Monitor,1,4/29/2019 19:38
176588,20in Monitor,1,4/2/2019 4:00
176589,Lightning Charging Cable,1,4/4/2019 12:23
176590,Google Phone,1,4/11/2019 11:46
176591,Apple Airpods Headphones,1,4/21/2019 7:21
176592,USB-C Charging Cable,1,4/27/2019 13:04
176593,Lightning Charging Cable,2,4/15/2019 13:45
176594,Wired Headphones,1,4/17/2019 23:04
176595,Wired Headphones,3,4/2/2019 9:11
176596,Apple Airpods Headphones,1,4/27/2019 20:11
176597,USB-C Charging Cable,1,4/19/2019 13:39
176598,AAA Batteries (4-pack),2,4/21/2019 20:33
176599,Lightning Charging Cable,1,4/11/2019 15:25
176600,27in 4K Gaming Monitor,1,4/30/2019 15:54
176601,USB-C Charging Cable,1,4/2/2019 22:32
176602,Lightning Charging Cable,1,4/30/2019 9:39
176603,USB-C Charging Cable,1,4/1/2019 7:46
176604,USB-C Charging Cable,1,4/2/2019 10:57
176605,USB-C Charging Cable,1,4/15/2019 16:29
176606,LG Dryer,1,4/21/2019 14:16
176607,AAA Batteries (4-pack),2,4/18/2019 12:11
176608,iPhone,1,4/11/2019 12:01
176609,Apple Airpods Headphones,1,4/11/2019 16:59
176610,AAA Batteries (4-pack),1,4/26/2019 0:40
176611,Bose SoundSport Headphones,1,4/30/2019 13:16
176612,Apple Airpods Headphones,1,4/4/2019 19:48
176613,USB-C Charging Cable,2,4/26/2019 18:58
176614,AA Batteries (4-pack),1,4/7/2019 21:01
176615,Lightning Charging Cable,1,4/30/2019 10:35
176616,USB-C Charging Cable,1,4/5/2019 20:40
176617,Apple Airpods Headphones,1,4/25/2019 8:03
176618,Lightning Charging Cable,2,4/18/2019 21:44
176619,Flatscreen TV,1,4/16/2019 18:37
176620,USB-C Charging Cable,1,4/17/2019 10:39
176621,Lightning Charging Cable,1,4/11/2019 16:09
176622,AA Batteries (4-pack),1,4/11/2019 20:16
176623,27in FHD Monitor,1,4/20/2019 23:51
176624,AA Batteries (4-pack),1,4/28/2019 10:44
176625,AAA Batteries (4-pack),2,4/24/2019 19:00
176626,Bose SoundSport Headphones,1,4/1/2019 21:40
176627,Wired Headphones,1,4/21/2019 14:57
176628,Lightning Charging Cable,2,4/15/2019 4:03
176629,USB-C Charging Cable,1,4/24/2019 11:56
176630,Google Phone,1,4/10/2019 5:01
176631,USB-C Charging Cable,1,4/13/2019 18:48
176632,AAA Batteries (4-pack),1,4/14/2019 14:28
176633,ThinkPad Laptop,1,4/23/2019 14:03
176634,Lightning Charging Cable,1,4/10/2019 8:00
176635,Vareebadd Phone,1,4/26/2019 9:55
176636,AA Batteries (4-pack),1,4/30/2019 20:37
176637,AAA Batteries (4-pack),1,4/17/2019 10:03
176638,USB-C Charging Cable,1,4/20/2019 8:33
176639,Macbook Pro Laptop,1,4/28/2019 16:14
176640,Wired Headphones,2,4/27/2019 22:54
176641,Lightning Charging Cable,1,4/25/2019 21:36
176642,AA Batteries (4-pack),1,4/17/2019 18:38
176643,Macbook Pro Laptop,1,4/27/2019 21:32
176644,USB-C Charging Cable,1,4/23/2019 2:09
176645,AAA Batteries (4-pack),3,4/26/2019 18:38
176646,Macbook Pro Laptop,1,4/22/2019 7:14
176647,Google Phone,1,4/21/2019 19:40
176648,27in FHD Monitor,1,4/24/2019 1:17
176649,USB-C Charging Cable,1,4/9/2019 8:49
176650,Lightning Charging Cable,1,4/12/2019 16:47
176651,iPhone,1,4/7/2019 13:14
176652,LG Washing Machine,1,4/9/2019 20:04
176653,AA Batteries (4-pack),1,4/26/2019 19:20
176654,USB-C Charging Cable,1,4/15/2019 19:35
176655,Apple Airpods Headphones,1,4/11/2019 19:36
176656,Google Phone,1,4/12/2019 16:42
176657,ThinkPad Laptop,1,4/23/2019 10:16
176658,AAA Batteries (4-pack),2,4/22/2019 8:51
176659,20in Monitor,1,4/29/2019 14:40
176660,AA Batteries (4-pack),1,4/16/2019 17:10
176661,Wired Headphones,1,4/25/2019 20:40
176662,34in Ultrawide Monitor,1,4/5/2019 12:46
176663,Bose SoundSport Headphones,1,4/5/2019 11:48
176664,AAA Batteries (4-pack),1,4/13/2019 18:59
176665,ThinkPad Laptop,1,4/7/2019 14:15
176666,Wired Headphones,1,4/8/2019 16:50
176667,27in 4K Gaming Monitor,1,4/11/2019 0:39
176668,AA Batteries (4-pack),1,4/15/2019 20:46
176669,27in FHD Monitor,1,4/8/2019 12:57
