Order ID,Product,Quantity Ordered,Order Date
150502,iPhone,1,2/18/2019 1:35
150503,AA Batteries (4-pack),1,2/13/2019 7:24
150504,27in 4K Gaming Monitor,1,2/18/2019 9:46
150505,Lightning Charging Cable,1,2/2/2019 16:47
150506,AA Batteries (4-pack),2,2/28/2019 20:32
150507,Lightning Charging Cable,1,2/24/2019 18:50
150508,AA Batteries (4-pack),1,2/21/2019 19:26
150509,Apple Airpods Headphones,1,2/26/2019 19:53
150510,USB-C Charging Cable,1,2/17/2019 21:48
150511,USB-C Charging Cable,1,2/22/2019 7:36
150512,Bose SoundSport Headphones,1,2/17/2019 18:29
150513,Bose SoundSport Headphones,1,2/25/2019 20:49
150514,27in FHD Monitor,1,2/3/2019 0:21
150515,Apple Airpods Headphones,1,2/18/2019 14:53
150516,Lightning Charging Cable,1,2/20/2019 12:29
150517,Wired Headphones,1,2/8/2019 12:57
150518,Macbook Pro Laptop,1,2/26/2019 12:38
150518,iPhone,1,2/26/2019 12:38
150519,Wired Headphones,1,2/23/2019 13:25
150520,AA Batteries (4-pack),2,2/27/2019 14:39
150521,Flatscreen TV,1,2/27/2019 20:07
150522,20in Monitor,1,2/12/2019 0:00
150523,LG Dryer,1,2/27/2019 20:24
150524,Wired Headphones,1,2/28/2019 13:47
150525,20in Monitor,1,2/25/2019 9:38
150526,AAA Batteries (4-pack),1,2/15/2019 11:31
150527,USB-C Charging Cable,1,2/7/2019 14:33
150528,AAA Batteries (4-pack),2,2/26/2019 23:17
150529,AA Batteries (4-pack),4,2/11/2019 13:10
150530,ThinkPad Laptop,1,2/5/2019 14:19
150531,USB-C Charging Cable,1,2/28/2019 18:16
150532,USB-C Charging Cable,1,2/4/2019 22:57
150533,AAA Batteries (4-pack),1,3/1/2019 3:06
150534,AAA Batteries (4-pack),2,2/12/2019 22:02
150535,AAA Batteries (4-pack),1,2/21/2019 11:46
150536,Wired Headphones,1,2/13/2019 22:43
150537,Wired Headphones,1,2/23/2019 13:31
150538,Apple Airpods Headphones,1,2/22/2019 17:28
150539,AA Batteries (4-pack),2,2/18/2019 16:46
150540,Apple Airpods Headphones,1,2/18/2019 15:23
150541,AAA Batteries (4-pack),1,3/1/2019 1:03
150542,AA Batteries (4-pack),1,2/2/2019 19:46
150543,Wired Headphones,1,2/8/2019 9:21
150544,Lightning Charging Cable,1,2/10/2019 17:19
150545,Macbook Pro Laptop,1,2/25/2019 20:35
150546,AAA Batteries (4-pack),1,2/7/2019 14:01
150547,AAA Batteries (4-pack),1,2/6/2019 17:51
150548,Macbook Pro Laptop,1,2/18/2019 22:56
150549,iPhone,1,2/5/2019 20:33
150550,ThinkPad Laptop,1,2/17/2019 14:45
150551,27in 4K Gaming Monitor,1,2/2/2019 8:25
150552,Wired Headphones,1,2/21/2019 19:06
150553,34in Ultrawide Monitor,1,2/20/2019 21:42
150554,AA Batteries (4-pack),1,2/12/2019 6:49
150555,27in FHD Monitor,1,2/18/2019 11:27
150556,Lightning Charging Cable,1,2/10/2019 13:25
150557,AA Batteries (4-pack),2,2/22/2019 21:41
150558,Wired Headphones,1,2/4/2019 16:09
150559,Apple Airpods Headphones,1,2/7/2019 23:41
150560,Apple Airpods Headphones,1,2/5/2019 14:29
150561,Wired Headphones,1,2/22/2019 17:55
150562,27in 4K Gaming Monitor,1,2/16/2019 20:07
150563,iPhone,1,2/20/2019 2:09
