Order ID,Product,Quantity Ordered,Order Date
141234,iPhone,1,1/22/2019 21:25
141235,Lightning Charging Cable,1,1/28/2019 14:15
141236,Wired Headphones,2,1/17/2019 13:33
141237,27in FHD Monitor,1,1/5/2019 20:33
141238,Wired Headphones,1,1/25/2019 11:59
141239,AAA Batteries (4-pack),1,1/29/2019 20:22
141240,27in 4K Gaming Monitor,1,1/26/2019 12:16
141241,USB-C Charging Cable,1,1/5/2019 12:04
141242,Bose SoundSport Headphones,1,1/1/2019 10:30
141243,Apple Airpods Headphones,1,1/22/2019 21:20
141244,Apple Airpods Headphones,1,1/7/2019 11:29
141245,Macbook Pro Laptop,1,1/31/2019 10:12
141246,AAA Batteries (4-pack),3,1/9/2019 18:57
141247,27in FHD Monitor,1,1/25/2019 19:19
141248,Flatscreen TV,1,1/3/2019 21:54
141249,27in FHD Monitor,1,1/5/2019 17:20
141250,Vareebadd Phone,1,1/10/2019 11:20
141251,Apple Airpods Headphones,1,1/24/2019 8:13
141252,USB-C Charging Cable,1,1/30/2019 9:28
141253,AA Batteries (4-pack),1,1/17/2019 0:09
141254,AAA Batteries (4-pack),1,1/8/2019 11:51
141255,USB-C Charging Cable,1,1/9/2019 20:55
141256,Google Phone,1,1/29/2019 10:40
141257,Apple Airpods Headphones,1,1/12/2019 18:51
141258,AA Batteries (4-pack),1,1/19/2019 21:47
141259,AAA Batteries (4-pack),2,1/20/2019 17:26
141260,AAA Batteries (4-pack),1,1/1/2019 22:00
141261,USB-C Charging Cable,1,1/9/2019 18:14
141262,AAA Batteries (4-pack),1,1/16/2019 12:35
141263,Bose SoundSport Headphones,1,1/11/2019 23:33
141264,Apple Airpods Headphones,1,1/3/2019 9:46
141265,Apple Airpods Headphones,1,1/1/2019 16:52
141266,27in 4K Gaming Monitor,1,1/2/2019 22:21
141267,Apple Airpods Headphones,1,1/9/2019 8:28
141268,AA Batteries (4-pack),1,1/14/2019 10:13
141269,27in 4K Gaming Monitor,1,1/3/2019 20:05
141270,Wired Headphones,1,1/27/2019 23:10
141271,USB-C Charging Cable,1,1/30/2019 10:51
141272,AAA Batteries (4-pack),1,1/12/2019 13:09
141273,Wired Headphones,2,1/29/2019 12:04
141274,USB-C Charging Cable,1,1/17/2019 11:30
141275,USB-C Charging Cable,1,1/7/2019 16:06
141275,Wired Headphones,1,1/7/2019 16:06
141276,Lightning Charging Cable,1,1/21/2019 22:23
