Order ID,Product,Quantity Ordered,Order Date
162009,iPhone,1,3/28/2019 20:59
162009,Lightning Charging Cable,1,3/28/2019 20:59
162009,Wired Headphones,2,3/28/2019 20:59
162010,Bose SoundSport Headphones,1,3/17/2019 5:39
162011,34in Ultrawide Monitor,1,3/10/2019 0:01
162012,AA Batteries (4-pack),1,3/20/2019 21:33
162013,34in Ultrawide Monitor,1,3/15/2019 23:05
162014,USB-C Charging Cable,1,3/1/2019 21:33
162015,AA Batteries (4-pack),1,3/2/2019 8:52
162016,AAA Batteries (4-pack),5,3/19/2019 21:10
162017,Lightning Charging Cable,1,3/2/2019 13:55
162018,USB-C Charging Cable,2,3/18/2019 11:07
162019,AAA Batteries (4-pack),1,3/5/2019 12:20
162020,LG Washing Machine,1,3/26/2019 18:17
162021,Wired Headphones,1,3/30/2019 12:02
162022,AA Batteries (4-pack),1,3/17/2019 22:18
162023,Apple Airpods Headphones,1,3/11/2019 20:00
162024,27in 4K Gaming Monitor,1,3/17/2019 9:22
162025,AAA Batteries (4-pack),1,3/7/2019 20:50
162026,iPhone,1,3/22/2019 22:31
162027,AAA Batteries (4-pack),1,3/16/2019 20:52
162028,AAA Batteries (4-pack),3,3/20/2019 15:23
162029,AAA Batteries (4-pack),1,3/26/2019 12:17
162030,Google Phone,1,3/9/2019 16:50
162031,Lightning Charging Cable,1,3/28/2019 17:03
162032,Lightning Charging Cable,1,3/31/2019 10:39
162033,iPhone,1,3/19/2019 11:06
162034,USB-C Charging Cable,1,3/26/2019 20:34
162035,Macbook Pro Laptop,1,3/8/2019 13:07
162036,Lightning Charging Cable,1,3/9/2019 19:39
162037,iPhone,1,3/23/2019 2:11
162037,Lightning Charging Cable,1,3/23/2019 2:11
162038,AAA Batteries (4-pack),2,3/18/2019 20:31
162039,AA Batteries (4-pack),1,3/29/2019 12:01
162040,USB-C Charging Cable,1,3/25/2019 9:11
162041,Apple Airpods Headphones,1,3/14/2019 1:01
162042,USB-C Charging Cable,1,3/9/2019 22:39
162043,AA Batteries (4-pack),1,3/29/2019 10:59
162044,27in FHD Monitor,1,3/22/2019 10:11
162045,Apple Airpods Headphones,1,3/26/2019 13:31
162046,AAA Batteries (4-pack),2,3/20/2019 20:33
162047,Bose SoundSport Headphones,1,3/8/2019 18:41
162048,AA Batteries (4-pack),1,3/31/2019 19:24
162049,Lightning Charging Cable,1,3/25/2019 13:35
162050,AAA Batteries (4-pack),1,3/26/2019 17:09
162051,AAA Batteries (4-pack),1,3/12/2019 9:12
162052,Wired Headphones,1,3/11/2019 9:44
162053,iPhone,1,3/10/2019 18:29
162054,Wired Headphones,1,3/20/2019 0:42
162055,AA Batteries (4-pack),1,3/29/2019 9:21
162056,Wired Headphones,1,3/17/2019 10:24
162057,Wired Headphones,1,3/30/2019 18:44
162058,27in FHD Monitor,1,3/30/2019 2:30
162059,USB-C Charging Cable,1,3/3/2019 5:47
162060,AAA Batteries (4-pack),3,3/10/2019 16:04
162061,Wired Headphones,1,3/1/2019 22:07
162062,AAA Batteries (4-pack),1,3/24/2019 3:37
162063,AAA Batteries (4-pack),2,3/2/2019 11:58
162064,Macbook Pro Laptop,1,3/5/2019 9:00
162065,Google Phone,1,3/2/2019 13:18
162066,AA Batteries (4-pack),1,3/13/2019 13:57
162066,USB-C Charging Cable,2,3/13/2019 13:57
162067,ThinkPad Laptop,1,3/7/2019 23:40
162068,Wired Headphones,1,3/24/2019 12:25
162069,AA Batteries (4-pack),1,3/15/2019 16:53
162070,27in FHD Monitor,1,3/15/2019 18:19
162071,Vareebadd Phone,1,3/30/2019 20:23
162071,USB-C Charging Cable,1,3/30/2019 20:23
162072,AA Batteries (4-pack),1,3/2/2019 12:04
162073,Bose SoundSport Headphones,1,3/23/2019 20:52
162074,Apple Airpods Headphones,1,3/5/2019 12:45
162075,Apple Airpods Headphones,1,3/11/2019 9:19
162076,Wired Headphones,1,3/4/2019 9:12
162077,AAA Batteries (4-pack),1,3/22/2019 11:54
162078,Lightning Charging Cable,1,3/2/2019 16:48
162079,Google Phone,1,3/24/2019 21:36
162080,Apple Airpods Headphones,1,3/24/2019 9:37
162081,Lightning Charging Cable,1,3/26/2019 20:58
162082,Vareebadd Phone,1,3/9/2019 14:15
162082,Wired Headphones,1,3/9/2019 14:15
162083,Wired Headphones,1,3/27/2019 19:04
162084,iPhone,1,3/27/2019 12:53
162085,Lightning Charging Cable,1,3/24/2019 19:52
162086,Google Phone,1,3/18/2019 9:12
162087,Google Phone,1,3/18/2019 13:58
162087,USB-C Charging Cable,1,3/18/2019 13:58
162088,Google Phone,1,3/2/2019 15:50
162089,Wired Headphones,1,3/7/2019 12:25
162090,Bose SoundSport Headphones,1,3/12/2019 13:03
162091,Bose SoundSport Headphones,1,3/18/2019 8:13
162092,Flatscreen TV,1,3/18/2019 11:29
162092,AAA Batteries (4-pack),1,3/18/2019 11:29
162093,Vareebadd Phone,1,3/19/2019 11:32
162094,ThinkPad Laptop,1,3/21/2019 3:42
162095,Wired Headphones,1,3/29/2019 13:18
162096,Bose SoundSport Headphones,1,3/4/2019 0:20
162097,Flatscreen TV,1,3/28/2019 13:43
162098,Flatscreen TV,1,3/7/2019 15:44
162099,USB-C Charging Cable,1,3/3/2019 0:18
162100,Wired Headphones,1,3/4/2019 0:17
