Order ID,Product,Quantity Ordered,Order Date
194095,Wired Headphones,1,5/16/2019 17:14
194096,AA Batteries (4-pack),1,5/19/2019 14:43
194097,27in FHD Monitor,1,5/24/2019 11:36
194098,Wired Headphones,1,5/2/2019 20:40
194099,AAA Batteries (4-pack),2,5/11/2019 22:55
194100,iPhone,1,5/10/2019 19:44
194101,USB-C Charging Cable,1,5/11/2019 22:44
194102,Lightning Charging Cable,1,5/7/2019 12:49
194103,27in FHD Monitor,1,5/24/2019 18:28
194104,Wired Headphones,1,5/4/2019 18:38
194105,ThinkPad Laptop,1,5/13/2019 9:07
194106,USB-C Charging Cable,1,5/12/2019 10:07
194107,34in Ultrawide Monitor,1,5/19/2019 17:52
194108,AA Batteries (4-pack),1,5/22/2019 18:15
194109,AAA Batteries (4-pack),1,5/15/2019 14:00
194110,Google Phone,1,5/31/2019 18:07
194110,Wired Headphones,1,5/31/2019 18:07
194111,27in FHD Monitor,1,5/4/2019 15:08
194112,Google Phone,1,5/29/2019 21:13
194113,Apple Airpods Headphones,1,5/10/2019 22:33
194114,Wired Headphones,1,5/20/2019 1:57
194115,AAA Batteries (4-pack),1,5/30/2019 20:29
194116,Lightning Charging Cable,1,5/19/2019 23:19
194117,Lightning Charging Cable,1,5/12/2019 8:44
194118,AA Batteries (4-pack),1,5/18/2019 22:54
194119,Wired Headphones,3,5/7/2019 7:15
194120,AAA Batteries (4-pack),1,5/11/2019 21:53
194121,LG Dryer,1,5/10/2019 20:41
194122,Wired Headphones,1,5/27/2019 16:18
194123,Apple Airpods Headphones,1,5/24/2019 0:34
194124,iPhone,1,5/4/2019 23:40
194125,Bose SoundSport Headphones,1,5/19/2019 21:33
194126,AAA Batteries (4-pack),2,5/19/2019 21:28
194127,Wired Headphones,1,5/15/2019 14:46
194128,AAA Batteries (4-pack),2,5/3/2019 18:15
194129,AA Batteries (4-pack),2,5/5/2019 11:51
194130,34in Ultrawide Monitor,1,5/9/2019 15:57
194131,Bose SoundSport Headphones,1,5/7/2019 10:44
194132,iPhone,1,5/22/2019 21:35
194133,Bose SoundSport Headphones,1,5/3/2019 9:45
194134,USB-C Charging Cable,1,5/27/2019 18:22
194135,Bose SoundSport Headphones,1,5/9/2019 20:06
194136,Wired Headphones,1,5/23/2019 19:58
194137,27in FHD Monitor,1,5/14/2019 4:13
194138,Lightning Charging Cable,1,5/1/2019 21:55
194139,Apple Airpods Headphones,1,5/12/2019 23:13
194140,Lightning Charging Cable,1,5/7/2019 23:57
194141,Wired Headphones,1,5/13/2019 14:09
194142,27in FHD Monitor,1,5/11/2019 19:08
194143,Apple Airpods Headphones,1,5/9/2019 21:58
194144,USB-C Charging Cable,1,5/11/2019 20:12
194145,AA Batteries (4-pack),1,5/23/2019 12:27
194146,AAA Batteries (4-pack),2,5/23/2019 20:31
194147,Flatscreen TV,1,5/18/2019 10:18
194148,27in 4K Gaming Monitor,1,5/21/2019 7:37
194149,27in FHD Monitor,1,5/23/2019 21:32
194150,Google Phone,1,5/4/2019 20:34
194151,AA Batteries (4-pack),1,5/28/2019 23:03
,,,
194152,USB-C Charging Cable,1,5/6/2019 11:27
194153,iPhone,1,5/12/2019 11:11
194154,Bose SoundSport Headphones,1,5/20/2019 10:38
194155,Apple Airpods Headphones,1,5/22/2019 10:53
194156,Macbook Pro Laptop,1,5/20/2019 18:32
194157,AA Batteries (4-pack),1,5/30/2019 0:21
194158,Lightning Charging Cable,1,5/13/2019 15:47
194159,Lightning Charging Cable,1,5/24/2019 7:30
194160,Bose SoundSport Headphones,1,5/29/2019 15:23
194161,Bose SoundSport Headphones,1,5/31/2019 10:46
194162,AA Batteries (4-pack),1,5/7/2019 23:12
