Tanggal,NO INVOICE,Kode Customer / Vendor,Nama Customer / Vendor,Gabungan,Kode Barang,Kode Batch,Stok,Kode Mutasi,Jenis Barang,Nama Barang,Satuan,BATCH / ED,Qty, Harga Satuan (HNA) ,DISC, Nilai ,TOTAL, PPN , TOTAL BAYAR ,Keterangan,Salesman,ALASAN RETUR
3/1/2026,INV.KMS.2600001,DK00214,APOTEK ZAM ZAM FARMA,MU000041,MU00004,1,0,2,0,Salbutamol 2 mg (MUS) 100's,Dus,2506101 / Jun-27,2,"13,800",,"27,600","100,200","11,022","111,222",Penjualan,ANGGA,
3/1/2026,INV.KMS.2600001,DK00214,APOTEK ZAM ZAM FARMA,KF000061,KF00006,1,158,2,Generik,Antihemoroid Suppo (KF) 10's,Dus,J52025W / Okt-27,2,"36,300",,"72,600",, - , - ,Penjualan,ANGGA,
3/1/2026,INV.KMS.2600002,DK00553,APOTEK BUNGA FARMA,SG000021,SG00002,1,0,2,0,Cessa BABY Merah Fedrop EO 8 ml,Pcs,T202HIY / Sept-28,6,"27,749",,"166,494","166,494","18,314","184,808",Penjualan,ANGGA,
3/1/2026,INV.KMS.2600003,DK00553,APOTEK BUNGA FARMA,PG000071,PG00007,1,0,2,OOT,Vicks Formula 44 Dewasa 54 ml,Botol,51696298B1 / Jun-27,5,"19,097",,"95,485","95,485","10,503","105,988",Penjualan,ANGGA,
3/1/2026,INV.KMS.2600004,DK00220,APOTIK SUMBER REJEKI,DV000101,DV00010,1,0,2,Mengandung Prekursor,Stop Cold Dragee Tab 60's,Dus,FX5A001 / Jun-27,3,"40,923",,"122,769","122,769","13,505","136,274",Penjualan,ANGGA,
3/1/2026,INV.KMS.2600005,DK00266,APOTEK KARTINI,KF000111,KF00011,1,24,2,Generik,"Clonidine 0,15 mg (KF) 100's",Dus,G51126N / Jul-27,1,"23,000",,"23,000","108,000","11,880","119,880",Penjualan,ANGGA,
3/1/2026,INV.KMS.2600005,DK00266,APOTEK KARTINI,HJ000101,HJ00010,1,11,2,0,Ranitidine HCl 150 mg (HJ) NEW 200's,Dus,HTRNTC53426 / Mei-27,2,"42,500",,"85,000",, - , - ,Penjualan,ANGGA,
3/1/2026,INV.KMS.2600006,DK00443,APOTEK ALBY CARE,IF000231,IF00023,1,0,2,0,Histigo 6 mg NEW 100's ,Dus,JC01P / Jun-28,2,"50,000",,"100,000","314,296","34,573","348,869",Penjualan,ANGGA,
3/1/2026,INV.KMS.2600006,DK00443,APOTEK ALBY CARE,NP000431,NP00043,1,0,2,0,Mefenamic Acid 500 mg (Nova) 100's,Dus,2510-06120 / Okt-27,2,"25,000",,"50,000",, - , - ,Penjualan,ANGGA,
3/1/2026,INV.KMS.2600006,DK00443,APOTEK ALBY CARE,EP000411,EP00041,1,0,2,0,Kool Fever Anak 12's,Dus ,XXXXX / Jun-28,2,"72,648",,"145,296",, - , - ,Penjualan,ANGGA,
