Tanggal,NO INVOICE,Kode Customer / Vendor,Nama Customer / Vendor,Gabungan,Kode Barang,Stock,Kode Batch,Kode Mutasi,Jenis Barang,Nama Barang,Satuan,BATCH / ED,Qty, Harga Satuan (HNA) ,DISC, Nilai , TOTAL , PPN , TOTAL BAYAR ,Keterangan,Salesman,ALASAN RETUR
02/07/2026,INV.KMS.2602216,DK00292,APOTEK PINTU DUA,DV000031,DV00003,,1,2,0,Vicee Lemon Tab 100's,Dus,KX5A369 / Des-27,1," 63,688 ",," 63,688 "," 127,376 "," 14,011 "," 141,387 ",Penjualan,ANGGA,
02/07/2026,INV.KMS.2602216,DK00292,APOTEK PINTU DUA,DV000041,DV00004,,1,2,0,Vicee Orange Tab 100's,Dus,LX5A121 / Jan-28,1," 63,688 ",," 63,688 ",, - , - ,Penjualan,ANGGA,
02/07/2026,INV.KMS.2602217,DK00196,APOTEK MUKJIZAT ,DV000111,DV00011,,1,2,0,Natur E 100 IU Soft Cap 16's,Dus,5EF1288 / Jun-28,6," 17,703 ",3," 103,031 "," 765,061 "," 84,157 "," 849,218 ",Penjualan,ANGGA,
02/07/2026,INV.KMS.2602217,DK00196,APOTEK MUKJIZAT ,IJ000021,IJ00002,,1,2,0,Guaifenesin 100 mg (IMR) 100's,Dus,0151250 / Des-27,5," 15,000 ",," 75,000 ",, - , - ,Penjualan,ANGGA,
02/07/2026,INV.KMS.2602217,DK00196,APOTEK MUKJIZAT ,AF000201,AF00020,,1,2,0,Vitamin B12 50 mcg (AFI) 100's,Dus,B30616 / Feb-30,5," 10,000 ",," 50,000 ",, - , - ,Penjualan,ANGGA,
02/07/2026,INV.KMS.2602217,DK00196,APOTEK MUKJIZAT ,TF000071,TF00007,,1,2,0,Ibuprofen 400 mg (Trifa) 100's,Dus,2601144 / Jan-28,4," 29,500 ",," 118,000 ",, - , - ,Penjualan,ANGGA,
02/07/2026,INV.KMS.2602217,DK00196,APOTEK MUKJIZAT ,TF000072,TF00007,,2,2,0,Ibuprofen 400 mg (Trifa) 100's,Dus,2602051 / Feb-28,1," 29,500 ",," 29,500 ",, - , - ,Penjualan,ANGGA,
02/07/2026,INV.KMS.2602217,DK00196,APOTEK MUKJIZAT ,KF000471,KF00047,,1,2,OTC,Bedak Marcks Putih 40gr,Pot,K50843S / Nov-30,3," 18,165 ",," 54,495 ",, - , - ,Penjualan,ANGGA,
02/07/2026,INV.KMS.2602217,DK00196,APOTEK MUKJIZAT ,KF000481,KF00048,,1,2,OTC,Bedak Marcks Creme 40gr,Pot,H50579S / Aug-30,3," 18,165 ",," 54,495 ",, - , - ,Penjualan,ANGGA,
02/07/2026,INV.KMS.2602217,DK00196,APOTEK MUKJIZAT ,RM000121,RM00012,,1,2,0,Amlodipine Besilate 10 mg (Rama) 100's,Dus,T12005BE / Des-27,10," 15,554 ",," 155,540 ",, - , - ,Penjualan,ANGGA,
